Data;Sondagem (cm);Estoque dia (m³);Estoque dia anterios (m³);Consumo diario (L);;
14/03/2025;84,5;81,72;81,72;0;;
15/03/2025;84,5;81,72;81,72;0;;
16/03/2025;84,5;81,72;81,72;0;;
17/03/2025;81,8;79,16;81,72;2558;;
18/03/2025;81,8;79,16;79,16;0;;
19/03/2025;79,5;76,99;79,16;2179;;
20/03/2025;79,5;76,99;76,99;0;;
21/03/2025;76,6;74,24;74,24;0;;
22/03/2025;76,6;74,24;74,24;0;;
23/03/2025;76,6;74,24;74,24;0;;
24/03/2025;106,8;102,85;74,24;1387;30,00;Recebimento 
25/03/2025;106,8;102,85;102,85;0;;
26/03/2025;106,8;102,85;102,85;0;;
27/03/2025;105,2;101,34;102,85;1513;;
28/03/2025;103,2;99,44;101,34;1895;;
29/03/2025;103,2;99,44;99,44;0;;
30/03/2025;103,2;99,44;99,44;0;;
31/03/2025;103,2;99,44;99,44;0;;
01/04/2025;99,7;96,13;99,44;3316;;
02/04/2025;99,7;96,13;96,13;0;;
03/04/2025;99,7;96,13;96,13;0;;
04/04/2025;97,4;93,95;96,13;2179;;
05/04/2025;97,4;93,95;93,95;0;;
06/04/2025;97,4;93,95;93,95;0;;
07/04/2025;97,4;93,95;93,95;0;;
08/04/2025;94,4;91,10;93,95;2843;;
09/04/2025;94,4;91,10;91,10;0;;
10/04/2025;94,4;91,10;91,10;0;;
11/04/2025;93,4;90,16;91,10;948;;
12/04/2025;93,4;90,16;90,16;0;;
13/04/2025;93,4;90,16;90,16;0;;
14/04/2025;93,4;90,16;90,16;0;;
15/04/2025;93,2;89,97;90,16;190;;
16/04/2025;91,4;88,26;89,97;1706;;
17/04/2025;91,4;88,26;88,26;0;;
18/04/2025;91,4;88,26;88,26;0;;
19/04/2025;91,4;88,26;88,26;0;;
20/04/2025;91,4;88,26;88,26;0;;
21/04/2025;91,4;88,26;88,26;0;;
22/04/2025;89,6;86,56;88,26;1706;;
23/04/2025;89,6;86,56;86,56;0;;
24/04/2025;89,6;86,56;86,56;0;;
25/04/2025;88,8;85,80;86,56;758;;
26/04/2025;88,8;85,80;85,80;0;;
27/04/2025;88,8;85,80;85,80;0;;
28/04/2025;88,8;85,80;85,80;0;;
29/04/2025;86,6;83,71;85,80;2085;;
30/04/2025;86,5;83,62;83,71;95;;
01/05/2025;86,5;83,62;83,62;0;;
02/05/2025;86,5;83,62;83,62;0;;
03/05/2025;86,5;83,62;83,62;0;;
04/05/2025;86,5;83,62;83,62;0;;
05/05/2025;85,6;82,77;83,62;853;;
06/05/2025;85,6;82,77;82,77;0;;
07/05/2025;83,6;80,87;82,77;1895;;
08/05/2025;83,6;80,87;80,87;0;;
09/05/2025;83,6;80,87;80,87;0;;
10/05/2025;83,6;80,87;80,87;0;;
11/05/2025;83,6;80,87;80,87;0;;
12/05/2025;83,6;80,87;80,87;0;;
13/05/2025;81;78,41;80,87;2464;;
14/05/2025;81;78,41;78,41;0;;
15/05/2025;81;78,41;78,41;0;;
16/05/2025;111,2;107,01;78,41;1395;30,00;Recebimento 
17/05/2025;111,2;107,01;107,01;0;;
18/05/2025;111,2;107,01;107,01;0;;
19/05/2025;111,2;107,01;107,01;0;;
20/05/2025;109,8;105,69;107,01;1324;;
21/05/2025;109,3;105,21;105,69;473;;
22/05/2025;109,3;105,21;105,21;0;;
23/05/2025;109,3;105,21;105,21;0;;
24/05/2025;109,3;105,21;105,21;0;;
25/05/2025;109,3;105,21;105,21;0;;
26/05/2025;109,3;105,21;105,21;0;;
27/05/2025;106,5;102,57;105,21;2648;;
28/05/2025;106,5;102,57;102,57;0;;
29/05/2025;101,8;98,12;102,57;4451;;
30/05/2025;101,8;98,12;98,12;0;;
31/05/2025;101,8;98,12;98,12;0;;
01/06/2025;101,8;98,12;98,12;0;;
02/06/2025;99,6;96,03;98,12;2085;;
03/06/2025;99,6;96,03;96,03;0;;
04/06/2025;98,2;94,70;96,03;1327;;
05/06/2025;97,8;94,33;94,70;379;;
06/06/2025;96,4;93,00;94,70;1706;;
07/06/2025;96,4;93,00;93,00;0;;
